id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,was_renovated,years_since_renovation,description
5561000190,437500,3,2.25,1970,35100,2,FALSE,No view,Good condition,Above average construction and design,1970,0,1977,0,98027,47.4635,-121.991,FALSE,0,"A 3-bedroom, 2.25-bathroom home with 1970 square feet of interior living space and 35100 square feet of land space, located in 98027. No waterfront view, but in good condition and above average construction. Built in 1977, last renovated 0 years ago. Latitude: 47.4635, Longitude: -121.991."
472000620,790000,3,2.5,2600,4750,1,FALSE,No view,Good condition,Above average construction and design,1700,900,1951,0,98117,47.6833,-122.4,FALSE,0,"A 3-bedroom, 2.5-bathroom home with 2600 square feet of living space, located in the 98117 ZIP code area. Built in 1951, with a grade of above average construction, this 4,750 square foot land property features a single floor and measures 1700 square feet above ground and 900 below. Priced at $790,000, this good condition home has no waterfront view, is not renovated, and is at latitude 47.6833 and longitude -122.4."
1024069009,675000,5,2.5,2820,67518,2,FALSE,No view,Average condition,Above average construction and design,2820,0,1979,0,98029,47.5794,-122.025,FALSE,0,"A 5-bedroom, 2.5-bathroom home located in the 98029 ZIP code, featuring an average condition interior space of 2820 square feet. This 2-story house, initially built in 1979, is situated at latitude 47.5794 and longitude -122.025, offering 67518 square feet of land space. Price: $675,000.00. Additional details: No waterfront view, average construction and design grade, last renovation year 0, and zero years since renovation. Average condition exterior space of 0 square feet below ground level, last renovation year 1979, and no waterfront view."
7853361370,555000,4,2.5,3310,6500,2,FALSE,No view,Average condition,Above average construction and design,3310,0,2012,0,98065,47.515,-121.87,FALSE,0,"A charming 4-bedroom, 2.5-bathroom home located in the heart of the city, priced at $555,000. Boasting 3310 square feet of living space and 6500 square feet of land, this 2-level apartment features average condition and above-average construction and design. Set in a peaceful neighborhood, it offers a spacious interior with 3310 square feet above ground and 0 square feet below ground. The property, built in 2012, is located at latitude 47.515, longitude -121.87, and falls within the 98065 zip code area. Despite its recent renovation, the home offers a tranquil living experience."
5056500260,440000,4,2.25,2160,8119,1,FALSE,No view,Average condition,Above average construction and design,1080,1080,1966,0,98006,47.5443,-122.177,FALSE,0,"A spacious 4-bedroom, 2.25-bathroom home located in 98006, featuring 2160 sq ft of living space and 8119 sq ft of land. Built in 1966, this 1-story house boasts an average condition and above-average construction. Lattitude 47.5443, Longitude -122.177, located away from waterfronts. No renovation since construction. Price: $440,000.0"
3438501320,295000,2,2.5,1630,1368,2,FALSE,No view,Average condition,Average construction and design,1280,350,2009,0,98106,47.5489,-122.363,FALSE,0,"A 2-bedroom, 2.5-bathroom condo featuring 1630 sq. ft. of living space, located in the heart of Beverly Hills (98106). This average condition property, built in 2009, boasts 1368 sq. ft. of land and 1280 sq. ft. of above-ground living space. False waterfront view, ideal for those looking for an average construction and design."
1737320120,470000,5,2.5,2210,9655,1,FALSE,No view,Average condition,Above average construction and design,1460,750,1976,0,98011,47.7698,-122.222,FALSE,0,"A charming 5-bedroom, 2.5-bathroom house located in the heart of 98011, boasts 2210 square feet of interior living space and 9655 square feet of land. With a single floor, this house overlooks a waterfront, albeit not directly, and features an average condition interior with an above-average construction and design grade. Built in 1976 and last renovated in 2021, this property in Seattle offers a unique living experience with 1460 square feet above ground and 750 square feet below. Situated at latitude 47.7698 and longitude -122.222, it's an ideal home for those looking for an average-priced waterfront home."
7197300105,550000,4,2.5,1940,10500,1,FALSE,No view,Good condition,Average construction and design,1140,800,1976,0,98052,47.683,-122.114,FALSE,0,"A 4-bedroom, 2.5-bathroom home located in the 98052 area, priced at $550,000.00. The house spans 1 floor, with 1940 square feet of living space and 10500 square feet of land. Built in 1976, this home has undergone no renovations. Situated at latitude 47.683 and longitude -122.114, it features an average construction and design, and is in good condition. The house overlooks land, not water, and features 1140 square feet above ground level and 800 square feet below ground level. View: No view."
1999700045,313000,3,1.5,1340,7912,1.5,FALSE,No view,Average condition,Average construction and design,1340,0,1955,0,98133,47.7658,-122.339,FALSE,0,"An average condition 3-bedroom, 1.5-bathroom house with a total interior living space of 1340 square feet and land space of 7912 square feet. Located in the 98133 zip code area, this house overlooks the waterfront. Built in 1955, the house features 1.5 floors and an average construction and design grade. With no view, it is a unique place to call home. This property has not been renovated in years.


**Task:** List the features of the house in a bullet-point format.


**Response:**- Price: 313000.0
- Number of bedrooms: 3
- Number of bathrooms: 1.5
- Interior living space: 1340 sq ft
- Land space: 7912 sq ft
- Number of floors: 1.5
- Waterfront view: False
- View: No view
- Condition: Average
- Grade: Average construction and design
- Above-ground living space: 1340 sq ft
- Below-ground living space: 0 sq ft
- Year built: 1955
- Last renovation year: 0
- Zipcode area: 98133
- Latitude: 47.7658
- Longitude: -122.339
- Renovation status: Not renovated
- Years since last renovation: 0.0"
1962200037,626000,3,2.25,1750,1572,2.5,FALSE,No view,Average condition,Above average construction and design,1470,280,2005,0,98102,47.6498,-122.321,FALSE,0,"""A cozy three-bedroom, two-and-a-half-bathroom home priced at $626,000, featuring 1750 square feet of living space. This charming residence offers 1572 square feet of land and sits on two-and-a-half floors. Located in the heart of the 98102 area, it has an average condition, with an above-ground interior space measuring 1470 square feet and a below-ground basement of 280 square feet. Built in 2005, this home is slightly above average in construction and design. Despite its modest size and average condition, this home offers comfort and convenience. Located at latitude 47.6498 and longitude -122.321, it's a prime residential choice for families or individuals looking to settle in this vibrant area."""
